minNumObj,IncorrectlyClassified,mediumAsHigh,lowAsHigh,HighMisclassified,HighAsMedium,HighAsLow,Number of Leaves,Size of tree
1,16.823,89,4,99,94,5,161,321
2,16.823,85,5,100,98,2,116,231
3,17.7611,91,4,108,103,5,102,203
4,17.5735,100,4,103,100,3,82,163
5,17.2608,90,5,109,106,3,71,141
6,17.1357,91,5,111,110,1,56,111
7,17.5735,99,5,112,111,1,48,95
8,17.9487,96,5,119,118,1,39,77
9,17.6986,91,4,125,124,1,39,77
10,18.324,94,3,125,125,0,35,69
11,18.324,94,3,124,124,0,29,57
12,17.7611,90,3,121,121,0,29,57
13,18.324,87,3,128,128,0,27,53
14,17.636,79,3,130,130,0,24,47
15,16.7605,69,3,132,132,0,23,45
