minNumObj,IncorrectlyClassified,lowAsHigh,HighAsLow,Number of Leaves,Size of tree
1,25.02,188,212,141,281
2,25.95,193,222,123,245
3,26.27,198,222,101,201
4,26.39,199,222,101,201
5,28.02,210,238,87,173
6,27.33,204,233,70,139
7,27.58,207,234,62,123
8,27.83,210,235,52,103
9,28.02,195,253,49,97
10,26.7,195,232,42,83
11,26.95,199,232,39,77
12,26.33,204,217,36,71
13,26.77,208,220,36,71
14,27.58,223,218,34,67
15,27.64,214,228,28,55
16,27.95,219,228,31,61
17,27.2,216,219,28,55
18,27.2,200,235,28,55
19,27.27,205,231,28,55
20,27.27,208,228,28,55
21,26.14,193,225,27,53
22,27.58,214,227,26,51
23,27.27,208,228,24,47
24,28.02,219,229,25,49
25,27.64,203,239,22,43
26,28.52,213,243,22,43
27,28.08,199,250,22,43
28,28.21,200,251,22,43
29,27.27,201,235,22,43
30,26.89,199,231,22,43
31,27.08,208,225,20,39
32,26.27,207,213,20,39
33,26.39,208,214,20,39
34,26.21,205,214,19,37
35,26.27,204,216,18,35
